f,s11r,s11c,s12r,s12c,e,f,g,h
50000,-0.104637936,-0.033189216,0.89363936,0.00697678,0,0,0,0
50271,-0.104906656,-0.032818452,0.895340992,0.006678751,0,0,0,0
50542,-0.105600128,-0.031994958,0.892529152,0.005354588,0,0,0,0
50813,-0.105433904,-0.032229714,0.893497024,0.004616046,0,0,0,0
51085,-0.105251952,-0.031756976,0.89372128,0.004870033,0,0,0,0
51356,-0.105631568,-0.030975454,0.893879424,0.00380525,0,0,0,0
51627,-0.105312064,-0.030517298,0.894465152,0.003198865,0,0,0,0
51898,-0.10500668,-0.030172566,0.893863104,0.003252992,0,0,0,0
52169,-0.105574224,-0.02996685,0.894476416,0.002730783,0,0,0,0
52440,-0.10527268,-0.029217502,0.894664768,0.002471248,0,0,0,0
52712,-0.105094632,-0.029555278,0.893963392,0.001217268,0,0,0,0
52983,-0.105410664,-0.028978994,0.894331264,0.001304665,0,0,0,0
53254,-0.105322264,-0.027929954,0.89512576,0.000881397,0,0,0,0
53525,-0.105610584,-0.02758125,0.894694656,0.00031846,0,0,0,0
53796,-0.105551296,-0.027942964,0.894372736,0.000416236,0,0,0,0
54067,-0.10536964,-0.02706876,0.894902336,-0.000115326,0,0,0,0
54338,-0.10543704,-0.027048072,0.894183616,-0.000638491,0,0,0,0
54610,-0.105598792,-0.026491702,0.894550336,-0.000275417,0,0,0,0
54881,-0.105370848,-0.026157636,0.894405824,-0.001319825,0,0,0,0
55152,-0.10568452,-0.025839242,0.894226048,-0.002319011,0,0,0,0
55423,-0.105543984,-0.025568134,0.894929856,-0.002385703,0,0,0,0
55694,-0.105680512,-0.02531939,0.894387328,-0.002721325,0,0,0,0
55965,-0.105817184,-0.025028252,0.894821696,-0.00289609,0,0,0,0
56236,-0.105690056,-0.024615106,0.894784704,-0.003363276,0,0,0,0
56508,-0.105688592,-0.024503832,0.894620032,-0.003946567,0,0,0,0
56779,-0.105867296,-0.023722526,0.89496672,-0.003673933,0,0,0,0
