f,s11r,s11c,s12r,s12c,e,f,g,h
50000,-0.103357184,-0.034840184,0.89090752,0.007634495,0,0,0,0
50689,-0.103358608,-0.034276348,0.892303872,0.007319505,0,0,0,0
51379,-0.103752848,-0.03323641,0.891595584,0.005379794,0,0,0,0
52068,-0.103656584,-0.032233302,0.891873024,0.004540176,0,0,0,0
52757,-0.103718528,-0.030903562,0.891765504,0.004027953,0,0,0,0
53447,-0.103549048,-0.030305484,0.891707776,0.00227222,0,0,0,0
54136,-0.103882656,-0.02939368,0.892775424,0.000851433,0,0,0,0
54826,-0.10387452,-0.028418998,0.892850752,0.000211466,0,0,0,0
55515,-0.103920608,-0.02748608,0.892340736,-0.0006756,0,0,0,0
56204,-0.103905056,-0.026448254,0.892604288,-0.001682237,0,0,0,0
56894,-0.103919784,-0.025834152,0.893210304,-0.003140572,0,0,0,0
57583,-0.103662184,-0.024915272,0.89264352,-0.003974738,0,0,0,0
58272,-0.103969104,-0.023616742,0.892139584,-0.00506684,0,0,0,0
58962,-0.104036776,-0.023914206,0.892859968,-0.005460546,0,0,0,0
59651,-0.1044766,-0.022850236,0.89299872,-0.00587647,0,0,0,0
60340,-0.10372048,-0.020542176,0.893238144,-0.006421118,0,0,0,0
61030,-0.10437776,-0.021653182,0.892567616,-0.007934982,0,0,0,0
61719,-0.104149176,-0.020125512,0.89299104,-0.009277593,0,0,0,0
62408,-0.104203992,-0.01943225,0.892737088,-0.009256869,0,0,0,0
63098,-0.104179624,-0.018542876,0.89341376,-0.011039778,0,0,0,0
63787,-0.104425592,-0.017993244,0.893147648,-0.011436725,0,0,0,0
64477,-0.104481256,-0.01723295,0.893346048,-0.012314994,0,0,0,0
65166,-0.104439568,-0.016755786,0.893208512,-0.013196322,0,0,0,0
65855,-0.10463108,-0.016160926,0.89308096,-0.013496995,0,0,0,0
66545,-0.104634624,-0.015526801,0.89330592,-0.014697883,0,0,0,0
67234,-0.104486128,-0.015053091,0.893321664,-0.015233946,0,0,0,0
67923,-0.10430288,-0.014212182,0.893032704,-0.016158084,0,0,0,0
68613,-0.104538664,-0.013450881,0.893648448,-0.016836706,0,0,0,0
69302,-0.104680424,-0.012929485,0.893728512,-0.017378626,0,0,0,0
69991,-0.1043674,-0.012488462,0.893547456,-0.017824186,0,0,0,0
70681,-0.104537824,-0.011762024,0.893574592,-0.018713276,0,0,0,0
71370,-0.104504032,-0.011689862,0.89339936,-0.01840619,0,0,0,0
72060,-0.104642792,-0.011445363,0.893721472,-0.019487254,0,0,0,0
72749,-0.104449472,-0.009848323,0.893558464,-0.020324396,0,0,0,0
73438,-0.104773248,-0.010225324,0.893775616,-0.021522638,0,0,0,0
74128,-0.10480208,-0.009327709,0.894291264,-0.02224652,0,0,0,0
74817,-0.104703944,-0.008678925,0.893717376,-0.022596116,0,0,0,0
75506,-0.104715424,-0.008277598,0.893802432,-0.022962342,0,0,0,0
76196,-0.104621272,-0.007790033,0.89379808,-0.023619636,0,0,0,0
76885,-0.104728944,-0.007436903,0.89375648,-0.024121348,0,0,0,0
77574,-0.104855424,-0.007142639,0.893635712,-0.024940786,0,0,0,0
78264,-0.104663256,-0.006733326,0.893776064,-0.025246788,0,0,0,0
78953,-0.104783128,-0.005970968,0.893692928,-0.025758074,0,0,0,0
79642,-0.10476128,-0.005820252,0.89392928,-0.02632488,0,0,0,0
80332,-0.104754936,-0.005114374,0.894017344,-0.026931968,0,0,0,0
81021,-0.104753176,-0.004729352,0.89394976,-0.027310738,0,0,0,0
81711,-0.104629856,-0.004442788,0.893975488,-0.027731716,0,0,0,0
82400,-0.104678976,-0.004145712,0.89423808,-0.02813031,0,0,0,0
83089,-0.105096568,-0.003523765,0.893388288,-0.028617622,0,0,0,0
83779,-0.104873416,-0.002714961,0.893631936,-0.029023514,0,0,0,0
84468,-0.10470244,-0.003022569,0.893532608,-0.02955585,0,0,0,0
85157,-0.104952024,-0.002534127,0.893655808,-0.03039101,0,0,0,0
85847,-0.104750992,-0.002177369,0.89411456,-0.030498072,0,0,0,0
86536,-0.104648504,-0.001774864,0.894032576,-0.03100129,0,0,0,0
87225,-0.10485024,-0.001390765,0.893700352,-0.03171425,0,0,0,0
87915,-0.104779248,-0.001044459,0.894053312,-0.03209278,0,0,0,0
88604,-0.10487928,-0.000597322,0.893812672,-0.032450374,0,0,0,0
89294,-0.104870928,-0.000343104,0.893704,-0.032589824,0,0,0,0
89983,-0.105003448,0.00014596,0.89391616,-0.033363712,0,0,0,0
90672,-0.104874344,0.000257972,0.89374272,-0.033600684,0,0,0,0
