frequency,phase,gain
1e+07,-33.2286,-7.10918
1.0116e+07,-33.6055,-7.11196
1.02333e+07,-33.9865,-7.11477
1.03519e+07,-34.3717,-7.11761
1.0472e+07,-34.7612,-7.12048
1.05934e+07,-35.155,-7.12338
1.07163e+07,-35.5531,-7.1263
1.08405e+07,-35.9557,-7.12925
1.09662e+07,-36.3626,-7.13223
1.10934e+07,-36.774,-7.13523
1.1222e+07,-37.19,-7.13825
1.13522e+07,-37.6105,-7.1413
1.14838e+07,-38.0357,-7.14436
1.1617e+07,-38.4656,-7.14745
1.17517e+07,-38.9002,-7.15055
1.1888e+07,-39.3396,-7.15366
1.20258e+07,-39.7838,-7.15679
1.21653e+07,-40.233,-7.15993
1.23064e+07,-40.6871,-7.16308
1.24491e+07,-41.1463,-7.16624
1.25934e+07,-41.6105,-7.16941
1.27395e+07,-42.0799,-7.17257
1.28872e+07,-42.5545,-7.17574
1.30366e+07,-43.0343,-7.1789
1.31878e+07,-43.5195,-7.18206
1.33407e+07,-44.0101,-7.18521
1.34954e+07,-44.5062,-7.18835
1.36519e+07,-45.0078,-7.19147
1.38102e+07,-45.515,-7.19458
1.39704e+07,-46.0279,-7.19766
1.41324e+07,-46.5466,-7.20072
1.42963e+07,-47.0711,-7.20375
1.44621e+07,-47.6015,-7.20674
1.46298e+07,-48.1379,-7.2097
1.47994e+07,-48.6804,-7.21261
1.4971e+07,-49.229,-7.21548
1.51446e+07,-49.7839,-7.2183
1.53203e+07,-50.3452,-7.22105
1.54979e+07,-50.9129,-7.22375
1.56776e+07,-51.4871,-7.22638
1.58594e+07,-52.0679,-7.22893
1.60433e+07,-52.6555,-7.23141
1.62294e+07,-53.25,-7.2338
1.64176e+07,-53.8514,-7.23609
1.6608e+07,-54.4598,-7.23829
1.68006e+07,-55.0755,-7.24039
1.69954e+07,-55.6984,-7.24237
1.71925e+07,-56.3288,-7.24424
1.73918e+07,-56.9667,-7.24597
1.75935e+07,-57.6123,-7.24758
1.77975e+07,-58.2657,-7.24904
1.80039e+07,-58.9271,-7.25036
1.82127e+07,-59.5967,-7.25151
1.84239e+07,-60.2745,-7.25251
1.86375e+07,-60.9607,-7.25332
1.88537e+07,-61.6555,-7.25396
1.90723e+07,-62.3591,-7.2544
1.92934e+07,-63.0716,-7.25465
1.95172e+07,-63.7932,-7.25469
1.97435e+07,-64.5242,-7.2545
1.99725e+07,-65.2647,-7.2541
2.02041e+07,-66.0149,-7.25345
2.04383e+07,-66.7751,-7.25256
2.06754e+07,-67.5454,-7.25142
2.09151e+07,-68.3261,-7.25002
2.11576e+07,-69.1174,-7.24834
2.1403e+07,-69.9196,-7.24638
2.16512e+07,-70.733,-7.24413
2.19023e+07,-71.5577,-7.24159
2.21562e+07,-72.3942,-7.23873
2.24132e+07,-73.2426,-7.23557
2.26731e+07,-74.1033,-7.23208
2.2936e+07,-74.9766,-7.22826
2.3202e+07,-75.8629,-7.22411
2.3471e+07,-76.7623,-7.21961
